zinc_id,name,smiles,catalog
4294607,,Nc1nnn(CC(=O)O)n1,ZINC20
32193859,,CNCCNS(C)(=O)=O,ZINC20
34567298,,COC(=O)[C@@](C)(N)CO,ZINC20
54497514,,Cn1cnnc1[C@H](N)CO,ZINC20
84987230,,CS(=O)(=O)N1CC(CN)C1,ZINC20
113672222,,NOCCOCCO,ZINC20
39118049,,C[C@@H]1NC(=O)[C@H]1N,ZINC20
84444075,,O=C(O)[C@H](O)CN1CCOCC1,ZINC20
950757246,,NC(=O)C1(N)CC(CO)C1,ZINC20
14585673,,COC(=O)[C@@H](O)CC(=O)O,ZINC20
39058198,,CNC[C@H](NC(C)=O)C(=O)O,ZINC20
308437820,,CN(C)CC(=O)N(C)CCC(N)=O,ZINC20
95128407,,C1COC[C@H](c2nnn[nH]2)N1,ZINC20
211384364,,COCCN1C(=O)[C@H]2CNC[C@@H]2C1=O,ZINC20
1772800757,,O[C@@H]1[C@@H]2C[C@@H](NO2)[C@@H]1O,ZINC20
96032001,,O=C(O)c1nnn2c1C(=O)NCC2,ZINC20
238373533,,COC(=O)C1(CO)CNC1,ZINC20
245226976,,O=C1NC(=O)[C@@H]2[C@H]1[C@@]1(CO)C=C[C@H]2O1,ZINC20
2020259,,CNC[C@H](O)[C@@H](O)[C@H](O)[C@H](O)CO,ZINC20
13357255,,CC(=O)NC(CO)CO,ZINC20
1857779818,,N[C@@]1(CO)CCC(=O)NC1=O,ZINC20
1677289,,N[C@H](CCC[C@@H](N)C(=O)O)C(=O)O,ZINC20
2560737,,NC(=O)CC[C@@H](N)C(N)=O,ZINC20
1686091,,O=Cc1cc(=O)[nH]c(=O)[nH]1,ZINC20
19230137,,OCCN1CCNCC1,ZINC20
19798159,,NCCn1nc(O)ccc1=O,ZINC20
51864485,,NCCOCC(N)=O,ZINC20
98090065,,NCCN[C@H](CC(=O)O)C(=O)O,ZINC20
206240683,,O=C(O)[C@H]1C[C@H](P(=O)(O)O)CN1,ZINC20
2384917,,N[C@@H](C(=O)O)[C@@H](O)[C@H](O)[C@H](O)CO,ZINC20
4682874,,OC1CNC1,ZINC20
4697465,,O=S(=O)(O)NCCCO,ZINC20
4775449,,O=C1O[C@@H]([C@H](O)[C@H](O)CO)C[C@@H]1O,ZINC20
33761575,,Nc1scn[n+]1N,ZINC20
34352310,,NC(=O)c1cnc(C(N)=O)cn1,ZINC20
100054549,,CS(=O)(=O)NN,ZINC20
104372385,,O=C(O)[C@@H]1O[C@H](O)[C@H](O)[C@H]1O,ZINC20
711217057,,O[C@]1(c2nn[nH]n2)CCNC1,ZINC20
1857778135,,COC(=O)[C@@H]1NCC[C@@H](O)[C@H]1O,ZINC20
2244322,,N=C(NO)NCC[C@H](N)C(=O)O,ZINC20
13529045,,CCNc1nc(=O)[nH]c(=O)[nH]1,ZINC20
145387731,,NC[C@H](O)[C@H](O)[C@H](O)[C@@H](O)CO,ZINC20
2569310,,OC[C@@H]1O[C@@H](O)[C@H](O)[C@H]1O,ZINC20
1887596813,,COC(=O)[C@@]1(O)CNC[C@@H]1O,ZINC20
1698676,,C[C@H](O)C(=O)N(CCO)CCO,ZINC20
5368908,,NC(=O)CCNCC(N)=O,ZINC20
6523967,,N[C@@H](Cc1cc(=O)[nH]c(=O)[nH]1)C(=O)O,ZINC20
39064298,,NC[C@H]1CC(C(N)=O)=NO1,ZINC20
82614877,,Cn1ccc(=O)n(CCCN)c1=O,ZINC20
83254088,,O=S1(=O)CCNCCN1,ZINC20
218402946,,C[C@]1(C(=O)O)C[C@H](O)[C@H](O)CO1,ZINC20
1857783207,,O[C@@H]1[C@H](O)CN[C@H]1CF,ZINC20
2539191,,CCOC(=O)[C@@H](O)[C@H](O)C(=O)O,ZINC20
31439447,,N[C@H](O)C(=O)O,ZINC20
34732617,,C[C@](N)(CN)C(=O)O,ZINC20
38251036,,COC(=O)[C@@H](O)CN,ZINC20
2384694,,N=C(N)NC[C@H](N)C(=O)O,ZINC20
2526291,,COC(=O)[C@H](N)CCCNC(=N)N,ZINC20
3134276,,COC(=O)[C@@H]1CNNC(=O)C1,ZINC20
200043123,,OCC1CNNC1,ZINC20
260384167,,COC(=O)C1(O)COC1,ZINC20
8657,,NC(=O)c1ncc[nH]c1=O,ZINC20
895271,,OC[C@H](O)[C@@H](O)CO,ZINC20
22014935,,O=C1NC(=O)[C@]2(CCCNC2)N1,ZINC20
60161691,,NS(=O)(=O)NCCCO,ZINC20
60298858,,NCC(O)(CO)CO,ZINC20
13601810,,OC[C@H]1NCC[C@@H](O)[C@H]1O,ZINC20
16121536,,CN(C)c1n[nH]c(=O)[nH]c1=O,ZINC20
19202087,,C1CNC2NCCNC2N1,ZINC20
39114992,,O=C(O)CN1CCNCC1=O,ZINC20
59270576,,CN1CC(=O)N2C[C@H](N)C[C@H]2C1=O,ZINC20
895342,,N[C@H](CO)C(=O)O,ZINC20
1532520,,OC[C@@H]1O[C@H](O)[C@@H](O)[C@H](O)[C@H]1O,ZINC20
12877943,,NS(=O)(=O)N1CCC(=O)CC1,ZINC20
14766378,,O=C(O)[C@H]1CS(=O)(=O)CCN1,ZINC20
95117666,,O=C(C[C@H]1NCCNC1=O)NC1CC1,ZINC20
895720,,O=C1O[C@H]([C@H](O)CO)[C@@H](O)[C@H]1O,ZINC20
3813668,,OC[C@H]1CNC[C@@H](O)[C@@H]1O,ZINC20
5134227,,NS(=O)(=O)C[C@H]1CCNC1,ZINC20
83635892,,NC1CN(CC(=O)O)C1,ZINC20
2560825,,CC(=O)N[C@@H](CC(=O)O)C(N)=O,ZINC20
2570186,,CC(CN)(CN)CN,ZINC20
3861773,,CO[C@@H]1[C@@H](O)[C@H](O)O[C@H](CO)[C@H]1O,ZINC20
14743731,,CN1CC(=O)N2CCNC[C@@H]2C1=O,ZINC20
19364225,,NCCNCCNCCN,ZINC20
103523515,,NC(=O)[C@@H]1[C@H]2CNC[C@H]21,ZINC20
118455814,,CN1C[C@H](N)[C@@H](O)C1,ZINC20
334138525,,Cc1c2[n+](=O)onc-2c(C)[n+]([O-])n1O,ZINC20
967278,,Nc1cc(=O)[nH]c(=O)[nH]1,ZINC20
22688833,,O=C(O)Cn1cc(CO)nn1,ZINC20
42333180,,NCC1(O)CCS(=O)(=O)CC1,ZINC20
70993429,,N[C@]1(c2nnn[nH]2)CCOC1,ZINC20
95347995,,CC(=O)N[C@H](Cc1c[nH]cn1)C(N)=O,ZINC20
669371567,,C[C@@H]1[C@H](C(=O)O)[C@H](O)C(=O)N1C,ZINC20
34273813,,NCC[C@H](O)CO,ZINC20
50244263,,N[C@@H]1CCN(c2n[nH]c(=O)[nH]c2=O)C1,ZINC20
1857786656,,O=C(O)[C@@H]1NC[C@H]2CNC[C@@H]21,ZINC20
342245,,Cn1ncnc2c(=O)n(C)c(=O)nc1-2,ZINC20
2574224,,CC(=O)Nc1c(N)[nH]c(=O)n(C)c1=O,ZINC20
3640894,,NC1=NC(=O)C2=NC=NC2=N1,ZINC20
3956750,,CO[C@H]1O[C@H](CN)[C@@H](O)[C@H](O)[C@H]1O,ZINC20
5794136,,COC(=O)c1n[nH]c(=O)[nH]1,ZINC20
13549741,,C[C@@H]1OC(=O)[C@H](O)[C@H](O)[C@H]1O,ZINC20
88604426,,CN1C(=O)C[C@@H](CN)C1=O,ZINC20
170617745,,OC1(c2nnn[nH]2)CCNCC1,ZINC20
1555575,,COC(=O)[C@@H](O)[C@H](O)C(=O)OC,ZINC20
5178963,,O=[N+]([O-])OC[C@@H](CO)O[N+](=O)[O-],ZINC20
5395677,,CN1CCN(C)C(=O)C1=O,ZINC20
